"from","to","time","train"
"BRI","WSM","1020","MAN > PGN"
"BRK","GLY","300","ORE > BTN"
"BRK","PLG","300","BTN > ORE"
"BRP","BCC","540","IPS > LWT"
"BRP","HAS","420","LWT > IPS"
"BRS","NEM","180","HMC > WAT"
"BRS","SUR","240","WAT > HMC"
"BRU","CLC","300","GCR > WEY"
"BRU","FRO","720","WEY > BRI"
"BRV","KNN","180","LTV > RDC"
"BRV","SLY","180","RDC > LTV"
"BRW","LVC","240","HNX > SOP"
"BRW","STM","180","SOP > HNX"
"BRX","HNH","120","VIC > ORP"
"BRX","VIC","540","ORP > VIC"
"BSB","FSK","240","NOT > NCT"
"BSB","THU","180","NCT > MAT"
"BSC","TAB","180","WSL > WVH"
"BSC","WSL","240","WVH > WSL"
"BSD","HBN","180","VIC > AFK"
"BSD","MDE","300","CBW > VIC"
"BSE","ELY","1560","IPS > PBO"
"BSE","KNE","600","IPS > CBG"
"BSE","NMK","1080","HPQ > CBG"
"BSE","SMK","960","PBO > IPS"
"BSE","TRS","360","CBG > IPS"
"BSH","CPK","180","WFJ > EUS"
"BSH","WFH","180","EUS > WFJ"
"BSJ","BDM","360","BLY > BDM"
"BSJ","KMH","360","BDM > BLY"
"BSK","BMY","420","BSK > RDG"
"BSK","HOK","420","SOU > WAT"
"BSK","OVR","480","WAT > SAL"
"BSK","RDG","1020","BMH > MAN"
"BSK","WIN","840","MAN > BMH"
"BSK","WOK","1080","EXD > WAT"
"BSM","BMH","300","WEY > WAT"
"BSM","PKS","180","WAT > POO"
"BSN","HEC","840","SKG > NOT"
"BSN","WFL","1440","NOT > SKG"
"BSP","BSY","120","RMD > SRA"
"BSP","KNR","120","SRA > RMD"
"BSR","DMP","180","VIC > RAM"
"BSR","MAR","300","RAM > VIC"
"BSV","CRL","240","PRE > HUD"
"BSV","LEY","420","HAZ > PRE"
"BSV","PRE","540","MIA > BIF"
"BSW","BMO","120","WOF > WTE"
"BSW","JEQ","120","SAV > SBJ"
"BSY","BSP","60","SRA > RMD"
"BSY","WHD","120","RMD > SRA"
"BTB","HAB","420","MIA > CLE"
"BTB","MKR","960","GMB > NNG"
"BTB","SCU","900","CLE > MIA"
"BTE","SDN","120","PMH > SOU"
"BTE","WLS","180","SOU > PMS"
"BTF","BIN","420","SKG > NOT"
"BTF","GRA","780","NOT > SKG"
"BTG","ALV","240","LTV > RDC"
"BTG","BMV","300","BHM > HFD"
"BTG","LOB","300","RDC > LTV"
"BTH","BOA","660","BRI > WSB"
"BTH","BRI","900","PAD > BRI"
"BTH","CPM","660","PNZ > PAD"
"BTH","FFD","540","GMV > WSB"
"BTH","OLF","120","WEY > BRI"
"BTL","DEW","180","LDS > HUD"
"BTL","MLY","360","HBD > LDS"
"BTN","HOV","240","BTN > HOV"
"BTN","LRB","180","BTN > SEF"
"BTN","LWS","660","BTN > AFK"
"BTN","PRP","240","BTN > VIC"
"BTO","DPD","240","RDH > RDG"
"BTO","REI","300","RDG > RDH"
"BTT","GTA","360","WTB > MBR"
"BTY","AON","480","WAT > AON"
"BTY","FNH","300","AON > WAT"
"BUB","BNC","180","PRE > CNE"
"BUB","RSG","180","CNE > PRE"
"BUD","KEN","240","WDM > OXN"
"BUD","SVL","300","OXN > WDM"
"BUE","CWC","360","SUY > MKT"
"BUG","BTN","660","VIC > BTN"
"BUG","HHE","300","LIT > VIC"
"BUG","HSK","180","BDM > BTN"
"BUH","FRY","240","YRK > HUL"
"BUH","GBD","480","BEV > DON"
"BUH","GOO","900","BDT > SHF"
"BUH","HOW","660","HUL > MAN"
"BUH","HUL","900","SHF > BDT"
