"from","to","time","train"
"FRM","SNW","360","BTN > SOU"
"FRO","BRU","660","GCR > WEY"
"FRO","WSB","540","WEY > BRI"
"FRT","TBW","300","ORE > CHX"
"FRT","WAD","300","CHX > HGS"
"FRY","BUH","300","BEV > DON"
"FRY","HES","240","YRK > HUL"
"FSB","BOH","180","LIT > PMS"
"FSB","CCH","180","SOU > HRH"
"FSG","PLD","120","BOG > BTN"
"FSG","SWK","120","BTN > WWO"
"FSK","BSB","240","NCT > MAT"
"FSK","NCT","480","MAT > NCT"
"FSK","ROL","120","NOT > NCT"
"FTN","HAV","540","PMH > WAT"
"FTN","HLS","240","PMH > SOU"
"FTN","PMS","180","BTN > PMH"
"FWY","BHM","300","RDC > LTV"
"FWY","UNI","240","LTV > RDC"
"FXN","CBG","780","KGX > CBG"
"FXN","STH","180","CBG > KGX"
"FZH","BDQ","360","SKI > BDQ"
"FZH","SHY","240","BDQ > SKI"
"FZP","COO","180","MAI > BNE"
"FZP","MAI","300","MLW > MAI"
"FZW","SES","300","LDS > DON"
"FZW","SNA","360","DON > LDS"
"GBD","BMF","300","YRK > HUL"
"GBD","BUH","480","DON > HUL"
"GBD","GOO","540","BEV > DON"
"GBD","HOW","420","HUL > YRK"
"GBK","CUD","300","MAN > CTR"
"GBK","NWI","300","CTR > SPT"
"GBL","DON","1620","SLR > DON"
"GBL","RET","900","LCN > AWK"
"GBL","SXY","720","SCU > LCN"
"GBS","ANG","240","BTN > LIT"
"GBS","DUR","120","BOG > BTN"
"GCR","CDU","840","GMV > WSB"
"GCR","CNM","540","SOU > GMV"
"GCR","SHU","780","CNM > SWI"
"GCT","GMB","300","BAU > CLE"
"GCT","HLI","180","CLE > BAU"
"GDL","HTY","120","MAN > MAN"
"GDL","NWN","120","MAN > MAN"
"GDN","EBR","300","LBG > TON"
"GDN","NUF","300","TON > VIC"
"GER","BCF","360","MYB > BAN"
"GER","DNM","240","HWY > MYB"
"GER","HWY","540","MYB > PRR"
"GER","SRG","300","MYB > HWY"
"GER","WRU","360","GER > MYB"
"GFD","SGN","180","GFD > WEA"
"GGV","HLD","480","LDS > MCM"
"GIG","CPY","480","LDS > MCM"
"GIL","TIS","600","EXD > WAT"
"GIL","TMC","480","SAL > EXD"
"GIP","CYP","120","LBG > BKJ"
"GIP","WNW","180","LBG > VIC"
"GLD","ASH","540","RDH > RDG"
"GLD","FNC","360","WAT > HSL"
"GLD","GOD","420","WAT > PMH"
"GLD","LRD","240","GLD > WAT"
"GLD","SFR","420","RDG > SFR"
"GLD","WAN","420","SFR > RDG"
"GLD","WAT","2220","PMH > WAT"
"GLD","WPL","360","PMS > WAT"
"GLH","CFD","300","KNO > LDS"
"GLH","PFM","300","LDS > KNO"
"GLM","CTM","240","DVP > VIC"
"GLM","RAI","240","VIC > DVP"
"GLO","DTG","180","MAN > MAN"
"GLS","LHM","300","WTB > MBR"
"GLY","BRK","360","BTN > ORE"
"GLY","LWS","360","ORE > BTN"
"GLZ","BWD","240","MCO > LIV"
"GMB","CLE","660","MIA > CLE"
"GMB","GCT","240","CLE > BAU"
"GMB","GMD","180","BAU > CLE"
"GMB","HAB","600","CLE > MIA"
"GMD","GMB","180","CLE > BAU"
"GMD","NCE","120","BAU > CLE"
"GMN","AMR","360","AVP > MYB"
"GMN","WND","360","MYB > AVP"
"GMT","EGT","240","WTB > MBR"
"GMV","CWL","300","PAD > HFD"
"GMV","MVL","120","HFD > BHM"
"GNF","MSL","240","HUD > WGW"
"GNF","MSN","540","PRE > HUD"
"GNH","DFD","300","GLM > CHX"
"GNH","GRV","360","CHX > GLM"
"GNH","SCG","120","GRV > CHX"
"GNH","SWM","180","CHX > GRV"
"GNL","BKC","120","ELP > ELP"
"GNL","RFY","120","ELP > ELP"
"GNR","FOX","300","CAR > BIF"
"GNR","MLM","360","BIF > CAR"
"GNT","NWA","360","SHM > NRW"
"GNT","RNR","360","NRW > SHM"
"GOD","FNC","120","HSL > GLD"
"GOD","HSL","720","WAT > PMH"
"GOD","MLF","240","WAT > HSL"
"GOM","CHL","300","RDH > RDG"
"GOM","DKT","420","RDG > RDH"
"GOO","BUH","840","SHF > BDT"
"GOO","DON","1500","BDT > SHF"
"GOO","GBD","540","DON > HUL"
"GOO","TNN","480","BEV > DON"
"GOR","CHO","300","PAD > OXF"
"GOS","ARN","360","BIF > PRE"
"GOS","CAK","360","MIA > BIF"
"GOS","KBK","180","MCO > BIF"
"GOX","NHL","240","CLE > BAU"
"GOX","TNA","180","BAU > CLE"
"GPO","HDH","120","SRA > RMD"
"GPO","KTW","120","RMD > SRA"
"GPO","UHL","600","GPO > SVS"
"GRA","ANC","1080","NOT > SKG"
"GRA","BTF","660","SKG > NOT"
"GRA","DON","1920","KGX > LDS"
"GRA","KGX","3840","HUL > KGX"
"GRA","NNG","660","KGX > YRK"
"GRA","NOT","2220","NRW > LIV"
"GRA","PBO","1740","LIV > NRW"
"GRA","SVG","2820","HGT > KGX"
"GRB","ALR","240","WON > COL"
"GRB","WEE","180","WTM > WON"
"GRF","CRG","300","YRK > LDS"
"GRF","EGF","120","PRE > YRK"
"GRF","LDS","600","MBR > MIA"
"GRF","SOM","480","LDS > SBY"
"GRF","YRK","1080","MIA > MBR"
"GRN","HSG","180","SHF > MAN"
"GRP","ESD","180","CHX > SEV"
"GRP","HGR","180","SEV > CHX"
"GRP","LBG","720","ORP > CHX"
"GRP","SUP","180","GRP > BMN"
"GRT","ADV","360","GIL > WAT"
"GRT","SAL","780","WAT > SAL"
"GRV","GNH","360","GLM > CHX"
"GRV","HGM","360","CHX > GLM"
"GRV","NFL","240","GRV > CHX"
"GSD","DNT","300","CAR > LDS"
"GSL","CSK","660","GSL > PLY"
"GSN","BWO","180","WFJ > SAA"
"GSN","WFN","120","SAA > WFJ"
"GST","APB","240","MCV > SOP"
"GST","WGW","360","SOP > MIA"
"GSW","BYN","180","LIV > WGN"
"GSW","SNH","360","PRE > LIV"
"GSY","BLD","300","ILK > BDQ"
"GSY","LDS","1020","ILK > LDS"
"GSY","MNN","180","BDQ > ILK"
"GTA","NNT","360","WTB > MBR"
"GTO","ABY","300","MAN > MAN"
"GTO","GUI","240","MAN > MAN"
"GTW","ECR","900","LIT > VIC"
"GTW","HHE","600","VIC > HGS"
"GTW","HOR","180","HRH > RDH"
"GTW","RDH","480","TBD > BDM"
"GTW","TBD","480","BDM > TBD"
"GTW","VIC","2100","BTN > VIC"
"GTY","EDY","180","MIA > MAN"
"GTY","HDG","180","MAN > MIA"
"GUI","FLF","180","MAN > MAN"
"GUI","FRF","180","RSH > MAN"
"GUI","GTO","180","MAN > MAN"
"GUI","HYT","300","MAN > RSH"
"GUN","KWG","180","SRA > RMD"
"GUN","SAT","180","RMD > SRA"
"GVH","AST","240","LTV > RDC"
"GVH","ERD","120","RDC > FOK"
"GYM","ACL","660","GYM > NRW"
"GYP","MTO","180","WTB > MBR"
"HAB","BTB","540","CLE > MIA"
"HAB","GMB","780","MIA > CLE"
"HAB","SLL","300","BAU > CLE"
"HAB","ULC","240","CLE > BAU"
"HAD","REE","540","LWT > NRW"
"HAD","SYT","240","NRW > LWT"
"HAG","BKD","180","LMS > WOS"
"HAG","KID","360","WTE > GMV"
"HAG","SBJ","240","WOF > WTE"
"HAI","CUX","240","TON > SOO"
"HAI","SDA","180","SOO > TON"
"HAL","ALT","240","CTR > SPT"
"HAL","ASY","180","MAN > CTR"
"HAM","POO","240","WEY > WAT"
"HAM","WRM","360","WAT > WEY"
"HAS","BRP","360","IPS > LWT"
"HAS","DSM","480","LWT > IPS"
"HAT","PBR","360","LET > KGX"
"HAT","WGC","240","KGX > WGC"
"HAV","BDH","120","LIT > PMS"
"HAV","BOH","480","SOU > BTN"
"HAV","CSA","480","BTN > SOU"
"HAV","EMS","240","PMH > HRH"
"HAV","FTN","540","BTN > PMH"
"HAV","PTR","780","PMH > WAT"
"HAV","RLN","360","PMS > WAT"
"HAV","WBL","120","SOU > HRH"
"HAY","STL","240","RDG > PAD"
"HAY","WDT","240","PAD > RDG"
"HAZ","DSL","420","MAN > BUX"
"HAZ","MAN","1140","BUX > MAN"
"HAZ","WSR","120","HAZ > PRE"
"HBD","BYM","1140","YRK > PRE"
"HBD","HFX","780","MCV > LDS"
"HBD","MYT","180","HBD > LDS"
"HBD","SOW","360","PRE > YRK"
"HBD","TOD","420","SBY > MCV"
"HBN","BSD","180","CBW > VIC"
"HBN","HRM","240","VIC > AFK"
"HBP","HGT","180","LDS > YRK"
"HBP","PNL","300","KNA > LDS"
"HBY","DTW","480","DDG > WOF"
"HBY","KID","300","WOF > WTE"
"HCB","CSH","180","SAC > SUO"
"HCB","MIJ","180","GLD > VIC"
"HCH","ALD","540","CRE > MAN"
"HCH","SDB","240","MAN > CRE"
"HCN","PLC","360","CHX > DVP"
"HCN","SPU","240","RAM > CHX"
"HCT","ACR","240","CNE > PRE"
"HCT","HPN","180","PRE > CNE"
"HDB","BLL","360","NCL > CAR"
"HDE","ESL","360","PMH > BSK"
"HDF","GLO","300","MAN > MAN"
"HDG","GTY","240","MIA > MAN"
"HDG","MAN","900","MIA > SOP"
"HDG","MIA","420","MAN > MIA"
"HDH","FNY","120","SRA > RMD"
"HDH","GPO","120","RMD > SRA"
"HDL","HRW","180","WFJ > EUS"
"HDL","HTE","120","EUS > WFJ"
"HDM","BCS","720","MYB > BAN"
"HDM","BIT","720","MYB > OXF"
"HDM","HWY","720","SAV > MYB"
"HDM","PRR","420","OXF > MYB"
"HDN","SBP","120","EUS > WFJ"
"HDN","WIJ","120","WFJ > EUS"
"HDY","BUY","180","KNA > LDS"
"HDY","HRS","300","LDS > YRK"
"HEC","BSN","1140","NOT > SKG"
"HEC","SLR","420","SKG > NOT"
"HED","HGN","240","LIV > MCO"
"HED","HNX","180","MCO > LIV"
"HEI","NAY","180","SLB > BIA"
"HEI","NRD","480","BIA > SLB"
"HEN","CRI","240","SAC > SUO"
"HEN","MIL","240","SEV > SAC"
"HER","ESH","180","FNH > WAT"
"HES","FRY","240","BEV > DON"
"HES","HUL","840","YRK > HUL"
"HEV","CWN","240","LBG > UCK"
"HEV","EBT","240","UCK > LBG"
"HEW","NCL","480","MBR > HEX"
"HEW","SUN","720","HEX > MBR"
"HEX","CRB","300","HEX > MBR"
"HEX","HDB","540","NCL > CAR"
"HFD","LED","1020","HFD > BHM"
"HFE","WAR","240","HFE > SRA"
"HFS","KKS","300","BEV > DON"
"HFS","TNN","300","DON > HUL"
"HFS","TNS","300","SHF > SCU"
"HFX","BDI","780","PRE > YRK"
"HFX","BGH","780","SBY > HUD"
"HFX","HBD","660","SBY > MCV"
"HFX","SOW","360","LDS > MCV"
"HGD","BDW","600","RDG > BDW"
"HGD","KIT","300","BDW > PAD"
"HGF","ATN","120","KIR > SYB"
"HGF","DSY","180","MCV > KIR"
"HGG","DLJ","120","CLJ > DLJ"
"HGG","HOX","120","DLJ > NWX"
"HGM","GRV","420","GLM > CHX"
"HGM","SOO","300","CHX > GLM"
"HGN","HED","240","MCO > LIV"
"HGN","WID","180","LIV > MCO"
"HGR","GRP","240","CHX > SEV"
"HGR","LBG","660","SEV > CHX"
"HGR","LEE","120","CHX > GRV"
"HGS","ORE","180","BTN > ORE"
"HGS","SLQ","180","AFK > BTN"
"HGS","TOK","480","BTN > AFK"
"HGT","HBP","180","KNA > LDS"
"HGT","SBE","240","LDS > YRK"
"HHE","BAB","420","BTN > LBG"
"HHE","BUG","300","BDM > BTN"
"HHE","GTW","660","LIT > VIC"
"HHE","HOV","900","HHE > LIT"
"HHE","TBD","540","SEF > VIC"
"HHE","WVF","240","LBG > BTN"
"HHY","CIR","120","SRA > RMD"
"HHY","CNN","120","RMD > SRA"
"HIA","BHI","180","NMP > BHM"
"HIA","BKW","240","BHM > NMP"
"HIB","TBW","240","CHX > TBW"
"HIB","TON","360","ORE > CHX"
"HID","BMC","180","MCV > CLH"
"HID","BON","300","CLH > MCV"
"HIG","BWT","480","BPW > TAU"
"HIG","WSM","600","TAU > BPW"
"HIL","ANS","180","SOP > LVC"
"HIL","BDL","120","HNX > SOP"
"HIN","DSY","240","SOP > MCV"
"HIN","INC","180","MCV > SOP"
"HIN","WGW","420","HUD > WGW"
"HIN","WHG","240","WGW > MCV"
"HIR","SET","420","CAR > LDS"
"HIT","ARL","300","KGX > PBO"
"HIT","KGX","1680","CBG > KGX"
"HIT","LET","300","KGX > CBG"
"HIT","SVG","300","PBO > KGX"
"HIT","WLW","480","RYS > KGX"
"HKC","DLK","120","SRA > RMD"
"HKC","HMN","120","RMD > SRA"
"HKM","LCN","660","NNG > LCN"
"HKM","SWD","360","LCN > LEI"
"HKN","BLW","240","WRK > NOT"
"HKN","NSD","300","NOT > WRK"
"HKW","HMN","180","SRA > RMD"
"HKW","SRA","480","RMD > SRA"
"HLB","SEV","420","TBW > CHX"
"HLB","TON","240","CHX > TBW"
"HLD","LPR","180","LDS > MCM"
"HLD","SKI","900","CAR > LDS"
"HLG","SRI","120","SAV > SBJ"
"HLG","YRD","120","WOF > WTE"
"HLI","GCT","180","BAU > CLE"
"HLI","SLL","180","CLE > BAU"
"HLN","FLT","240","SEV > BDM"
"HLN","LEA","300","BDM > TBD"
"HLR","BLN","120","SOP > LVC"
"HLR","HTO","180","HNX > SOP"
"HLS","BDH","480","PMH > LIT"
"HLS","CSA","300","PMH > SOU"
"HLS","FTN","240","SOU > PMS"
"HMC","THD","120","HMC > WAT"
"HMD","EBN","300","VIC > HGS"
"HMD","PEV","300","VIC > HGS"
"HMD","PLG","240","ORE > BTN"
"HME","BUO","180","SOU > PMS"
"HME","NTL","120","PMH > SOU"
"HML","BKM","240","SCY > MKC"
"HML","WFJ","360","NMP > EUS"
"HMM","POP","420","LDS > YRK"
"HMN","HKC","120","SRA > RMD"
"HMN","HKW","120","RMD > SRA"
"HMP","FLW","180","SHP > WAT"
"HMP","KMP","180","WAT > SHP"
"HMT","AFK","480","BTN > AFK"
"HMT","APD","240","AFK > RYE"
"HMW","KNG","120","WAT > WAT"
"HMW","TED","180","WAT > SHP"
"HNA","CHR","300","WAT > POO"
"HNA","NWM","240","POO > WAT"
"HNB","BCH","540","VIC > RAM"
"HNB","CSW","240","RAM > VIC"
"HND","CBY","420","PAD > HFD"
"HND","OXF","660","WOF > PAD"
"HNF","CAO","180","RGL > BHM"
"HNF","RGT","420","BHM > RGL"
"HNH","BRX","120","ORP > VIC"
"HNH","LGJ","180","SUO > BDM"
"HNH","PNE","480","VIC > ORP"
"HNH","TUH","300","LUT > SUO"
"HNK","NBR","540","BHM > LEI"
"HNK","NUN","360","LEI > BHM"
"HNL","DZY","240","SAV > SBJ"
"HNL","WWW","180","SBJ > SAV"
"HNX","HED","180","LIV > MCO"
"HNX","LPY","300","MCO > LIV"
"HNX","WID","360","LIV > NRW"
"HOH","MYB","900","AYS > MYB"
"HOH","RIC","600","MYB > AVP"
"HOK","BSK","600","WAT > BSK"
"HOK","WNF","240","SOU > WAT"
"HOL","HAM","240","WEY > WAT"
"HON","AXM","600","EXD > WAT"
"HON","FNT","300","SAL > EXD"
"HOO","CPU","300","CTR > CTR"
"HOO","ERA","120","ELP > ELP"
"HOO","LTT","300","ELP > ELP"
"HOP","EDL","420","SHF > MAN"
"HOR","GTW","120","LBG > HRH"
"HOR","SAF","240","HRH > RDH"
"HOT","SHI","240","HOT > TWY"
"HOU","FEL","420","WAT > WYB"
"HOU","ISL","180","WYB > WAT"
"HOV","AGT","120","BTN > WWO"
"HOV","BTN","240","SOU > BTN"
"HOV","BUG","600","LIT > HHE"
"HOV","PLD","180","BTN > SOU"
"HOV","PRP","240","LIT > VIC"
"HOV","SSE","360","HHE > LIT"
"HOW","EGN","300","YRK > HUL"
"HOW","SBY","720","HUL > YRK"
"HOX","HGG","120","CLJ > DLJ"
"HOX","SDC","180","DLJ > NWX"
"HOY","BBW","180","SHF > HUD"
"HOY","BHS","120","HUD > SHF"
"HPA","BCY","120","CAT > LBG"
"HPA","FOH","180","LBG > VIC"
"HPD","LTN","360","ORP > LUT"
"HPD","SAC","360","BDM > TBD"
"HPL","EAG","1140","SUN > KGX"
"HPL","SEA","900","MBR > HEX"
"HPL","SEC","240","HEX > MBR"
"HPL","SUN","1680","KGX > SUN"
"HPN","HCT","240","CNE > PRE"
"HPN","RSG","180","PRE > CNE"
"HPQ","WRB","360","HPQ > CBG"
"HRH","BAA","1560","VIC > PMH"
"HRH","CHH","180","HRH > BOG"
"HRH","CRW","480","BOG > VIC"
"HRH","LVN","180","HRH > VIC"
"HRM","HBN","240","CBW > VIC"
"HRM","LEN","180","VIC > AFK"
"HRR","PRN","480","CAR > WTH"
"HRR","WKG","300","BIF > CAR"
"HRS","HDY","240","KNA > LDS"
"HRS","LDS","780","HGT > KGX"
"HRS","WET","480","LDS > YRK"
"HRW","EUS","840","NMP > EUS"
"HRW","HDL","180","EUS > WFJ"
"HRW","KNT","180","WFJ > EUS"
"HRW","WFJ","480","CDN > WFJ"
"HRW","WMB","300","MKC > ECR"
"HRY","FPK","420","SVS > GPO"
"HRY","SVS","600","GPO > SVS"
"HSB","FRD","240","CTR > MAN"
"HSC","BCB","180","MCV > SOP"
"HSD","PRY","180","WSL > WVH"
"HSD","TAB","240","WVH > WSL"
"HSG","BAM","240","SHF > MAN"
"HSK","BUG","180","LIT > VIC"
"HSK","PRP","420","BDM > BTN"
"HSL","GLD","900","PMS > WAT"
"HSL","GOD","540","HSL > GLD"
"HSL","LIP","300","GLD > PMS"
"HSL","PTR","600","WAT > PMH"
"HSY","CLA","300","WAT > GLD"
"HSY","EFF","180","GLD > WAT"
"HTC","LVM","180","HAZ > PRE"
"HTC","MAN","480","CRE > MAN"
"HTC","SPT","180","PRE > HAZ"
"HTE","CPK","180","EUS > WFJ"
"HTE","HDL","120","WFJ > EUS"
"HTF","RUN","540","WSL > LIV"
"HTF","WSF","300","LIV > BHM"
"HTH","CHU","300","CRE > MAN"
"HTH","WML","120","MAN > ALD"
"HTN","LPW","300","LMS > WOS"
"HTN","WRP","300","SAV > MYB"
"HTN","WRW","360","SAV > LMS"
"HTO","FBY","240","HNX > SOP"
"HTO","HLR","180","SOP > LVC"
"HTR","HWX","900","HTR > WOK"
"HTY","BDB","120","MAN > MAN"
"HTY","GDL","120","MAN > MAN"
"HUB","BEM","600","SCA > HUL"
"HUB","FIL","240","GBD > SCA"
"HUD","DEW","480","LIV > SCA"
"HUD","DHN","240","HUD > WKF"
"HUD","LCK","180","HUD > SHF"
"HUD","LDS","1200","MIA > YRK"
"HUD","MAN","1980","MBR > MIA"
"HUD","MCV","1860","NCL > LIV"
"HUD","SWT","420","HUD > WGW"
"HUD","SYB","1200","SCA > LIV"
"HUL","BUH","660","BDT > SHF"
"HUL","CGM","420","SHF > BDT"
"HUL","HES","420","BEV > DON"
"HUN","PBO","960","KGX > PBO"
"HUN","SNO","420","PBO > KGX"
"HUP","TRA","120","LIV > MCO"
"HUR","EBT","360","LBG > UCK"
"HUR","LFD","360","VIC > EGR"
"HUR","OXT","180","UCK > LBG"
"HUT","BEV","540","SCA > HUL"
"HUT","DRF","300","SHF > BDT"
"HUY","BGE","240","MIA > LIV"
"HUY","PSC","300","LIV > WGN"
"HUY","ROB","120","MCV > LIV"
"HUY","SNH","540","LIV > PRE"
"HUY","WHN","240","LIV > WBQ"
"HWH","BMP","900","NCL > CAR"
"HWI","ADL","300","MCV > PRE"
"HWI","CRL","480","HAZ > PRE"
"HWI","LOT","240","PRE > HUD"
"HWM","HWN","240","BIS > SRA"
"HWM","SAW","240","SRA > BIS"
"HWN","HWM","180","SRA > BIS"
"HWN","RYN","240","BIS > SRA"
"HWW","BWO","180","SAA > WFJ"
"HWW","PKT","120","WFJ > SAA"
"HWX","HTR","900","WOK > HTR"
"HWX","RDG","3360","HTR > RDG"
"HWX","WOK","2400","HTR > WOK"
"HWY","BCF","360","PRR > MYB"
"HWY","MYB","1860","BSW > MYB"
"HWY","PRR","540","MYB > BAN"
"HWY","SDR","360","MYB > AYS"
"HWY","SRG","360","SAV > MYB"
"HWY","WCX","1200","BAN > MYB"
"HXM","SAH","300","SHM > NRW"
"HXM","WRT","420","NRW > SHM"
"HYB","EVE","480","PAD > HFD"
"HYB","MIM","660","WOF > PAD"
"HYC","HYT","180","RSH > MAN"
"HYC","WLY","180","MAN > RSH"
"HYD","KGS","540","PAD > BAN"
"HYH","CET","240","WON > COL"
"HYH","WIV","240","WTM > WON"
"HYK","MNR","120","WKI > WKI"
"HYK","WKI","300","WKI > WKI"
"HYL","CBN","600","PNZ > PAD"
"HYR","TOO","180","SUO > BDM"
"HYR","WIM","120","LUT > SUO"
"HYS","WWI","180","HYS > CHX"
"HYT","GUI","240","RSH > MAN"
"HYT","HYC","120","MAN > RSH"
"HYW","CLG","180","WAT > GLD"
"HYW","SUR","420","GLD > WAT"
"IFI","CRW","180","HRH > RDH"
"IFI","FGT","240","LBG > HRH"
"ILK","BEY","120","ILK > LDS"
"ILN","ALF","660","NOT > LIV"
"ILN","LGM","360","NOT > LDS"
"ILN","NOT","900","LDS > NOT"
"IMW","CLJ","660","SRA > CLJ"
"IMW","WBP","180","CDN > WFJ"
"INC","HIN","180","SOP > MCV"
"INC","WGW","180","MCV > SOP"
"IPS","MNG","600","IPS > COL"
"IPS","NMT","540","HPQ > CBG"
"IPS","SMK","720","IPS > PBO"
"IPS","WFI","360","IPS > LWT"
"IRL","FLI","240","LIV > MCO"
"IRL","GLZ","180","MCO > LIV"
"ISL","HOU","180","WAT > WYB"
"ISL","SYL","120","WYB > WAT"
"IVR","LNY","240","PAD > RDG"
"IVR","WDT","240","RDG > PAD"
"IVY","TOT","780","PNZ > PAD"
"JCH","MBR","420","WTB > MBR"
"JEQ","BSW","300","WOF > WTE"
"JEQ","THW","240","SAV > SBJ"
"KBF","ASK","360","CAR > BIF"
"KBF","FOX","180","BIF > CAR"
"KBK","CAK","240","MCO > BIF"
"KBK","GOS","180","BIF > PRE"
"KBN","QPW","120","EUS > WFJ"
"KBN","SOH","120","WFJ > EUS"
"KBW","SVG","240","KGX > PBO"
"KBW","WLW","240","LET > KGX"
"KBX","FRI","180","WTM > WON"
"KBX","TLS","360","WON > COL"
"KCK","CLD","180","SEV > CHX"
"KCK","DNG","300","CHX > SEV"
"KDB","BKH","180","DFD > VIC"
"KDB","ELW","180","CHX > DFD"
"KDG","ASG","240","EUS > CRE"
"KDG","CNG","420","SOT > MAN"
"KDG","LPT","360","CRE > DBY"
"KDG","SOT","600","MAN > SOT"
"KEI","BIY","360","CAR > LDS"
"KEI","CFL","180","SKI > LDS"
"KEI","SKI","840","LDS > MCM"
"KEI","SON","240","BDQ > SKI"
"KEM","STD","840","PAD > CNM"
"KEM","SWI","960","CNM > SWI"
"KEN","BUD","240","OXN > WDM"
"KEN","OXN","300","WDM > OXN"
"KET","COR","660","STP > COR"
"KET","WEL","660","DBY > STP"
"KEY","DOC","120","GSL > PLY"
"KEY","SBV","240","PLY > GSL"
"KGL","APS","240","EUS > TRI"
"KGL","WFJ","240","TRI > EUS"
"KGM","CBY","600","WOF > PAD"
"KGM","MIM","480","PAD > HFD"
"KGN","EGG","300","BNP > EXM"
"KGN","UMB","600","EXM > BNP"
"KGS","BAN","420","MYB > BAN"
"KGS","BCS","600","BAN > MYB"
"KGX","CBG","2940","KGX > KLN"
"KGX","FPK","300","KGX > WGC"
"KGX","PBO","2700","KGX > NCL"
"KGX","RYS","2040","KGX > ELY"
"KGX","SVG","1200","KGX > YRK"
"KGX","YRK","6660","KGX > SUN"
"KID","BKD","240","WOF > WTE"
"KID","DTW","600","LMS > WOS"
"KID","HBY","300","DDG > WOF"
"KID","SBJ","420","KID > MYB"
"KIR","FAZ","180","KIR > LVC"
"KIR","RNF","480","KIR > SYB"
"KIT","HGD","240","RDG > BDW"
"KIT","NBY","420","BDW > PAD"
"KIV","KVP","180","SCU > LCN"
"KIV","WDH","360","LCN > AWK"
"KKB","NSD","300","WRK > NOT"
"KKB","SPK","180","NOT > WRK"
"KKD","RIL","180","LVC > KIR"
"KKD","SDL","120","OMS > LVC"
"KKD","WAO","120","LVC > OMS"
"KKM","MOS","900","PRE > BPS"
"KKM","PFY","1200","PRE > BPN"
"KKM","PRE","1500","BPN > PRE"
"KKS","DON","600","BEV > DON"
"KKS","HFS","300","SHF > SCU"
"KLD","BTT","300","WTB > MBR"
"KLF","GSY","480","LDS > ILK"
"KLF","LDS","600","SKI > LDS"
"KLN","WTG","420","KLN > KGX"
"KLY","PUR","180","CAT > VIC"
"KLY","WHY","180","LBG > CAT"
"KMH","BSJ","360","BLY > BDM"
"KMH","SWR","180","BDM > BLY"
"KML","SIT","300","SSS > SIT"
"KML","SWL","240","SIT > SSS"
"KMP","SUU","120","WAT > SHP"
"KMS","BRG","240","VIC > AFK"
"KMS","OTF","300","CBW > VIC"
"KNA","CTL","480","LDS > YRK"
"KNA","SBE","180","KNA > LDS"
"KND","CHP","360","TAT > VIC"
"KND","TAD","240","PUR > TAT"
"KNE","NMK","600","IPS > CBG"
"KNF","MOB","240","CTR > SPT"
"KNF","PLM","300","MAN > CTR"
"KNG","HMW","120","WAT > SHP"
"KNG","NBT","120","WAT > WAT"
"KNL","QPW","180","WFJ > EUS"
"KNL","WIJ","180","EUS > WFJ"
"KNN","BRV","120","RDC > LTV"
"KNN","NFD","180","LTV > RDC"
"KNO","PFM","240","KNO > WKK"
"KNR","BSP","120","RMD > SRA"
"KNR","WIJ","240","SRA > RMD"
"KNT","HRW","120","EUS > WFJ"
"KNT","SOK","120","WFJ > EUS"
"KPA","SPB","120","CDN > WFJ"
"KPA","WBP","180","SRA > CLJ"
"KSL","FNW","120","BBN > WGW"
"KSL","SLD","660","WGW > MCV"
"KSN","DVP","300","VIC > DVP"
"KSN","SPH","300","DVP > VIC"
"KSW","GSD","780","CAR > LDS"
"KTH","BKJ","120","VIC > ORP"
"KTH","PNE","120","ORP > VIC"
"KTN","STP","240","SAC > SUO"
"KTN","WHP","300","SEV > WHP"
"KTW","CMD","180","RMD > SRA"
"KTW","GPO","180","SRA > RMD"
"KVP","KIV","180","LCN > AWK"
"KVP","SRO","300","SCU > LCN"
"KWB","BFD","180","WAT > WYB"
"KWB","CHK","180","WYB > WAT"
"KWG","GUN","180","RMD > SRA"
"KWG","RMD","600","SRA > RMD"
"KYN","BRI","600","WEY > BRI"
"KYN","BTH","420","BRI > SAL"
"KYN","OLF","420","GMV > WSB"
"LAC","EWR","180","BTN > WWO"
"LAC","SSE","240","SOU > BTN"
"LAC","WRH","240","BTN > SOU"
"LAD","CFB","120","CHX > HYS"
"LAD","LBG","600","HYS > CHX"
"LAG","CWD","240","NOT > WRK"
"LAG","SHB","300","WRK > NOT"
"LAN","BAR","360","LDS > MCM"
"LAN","CNF","480","MIA > BIF"
"LAN","PRE","1320","BIF > PRE"
"LAP","MRD","240","BNP > EXM"
"LAW","BWN","240","RGL > BHM"
"LAW","CAO","240","BHM > RGL"
"LAY","BPN","600","PRE > BPN"
"LAY","PFY","600","BPN > PRE"
"LBG","ECR","1020","LBG > OXT"
"LBG","HGR","660","CHX > SEV"
"LBG","LAD","660","CHX > HYS"
"LBG","LEW","540","CHX > GLM"
"LBG","NWD","780","LBG > UCK"
"LBG","NXG","360","LBG > VIC"
"LBG","ORP","1260","CHX > ORP"
"LBG","SBM","240","LBG > WIM"
"LBG","SEV","1620","CHX > TBW"
"LBG","WAE","240","RAM > CHX"
"LBK","NMP","720","BHM > EUS"
"LBK","RUG","660","EUS > BHM"
"LBO","BWS","300","LCN > LEI"
"LBO","EMD","480","LEI > LCN"
"LBO","LEI","720","SHF > STP"
"LBZ","BKM","720","BLY > EUS"
"LBZ","BLY","420","SCY > MKC"
"LBZ","CED","240","NMP > EUS"
